TMB,H2O2,predicted_value,uncertainty_std
0.07435245,0.329345047,8286.091139,1070.784778
0.051143024,0.284569115,8122.897892,1221.585715
0.05455155,0.212934736,7987.332353,1264.392398
0.073931907,0.170345083,7881.446512,1245.02807
1,0.02314846,7766.366626,1297.961561
0.077226289,0.004203155,6812.398926,1495.797967
0.101526537,0.001933947,6811.296826,1535.067545
0.122390849,0.085535081,6732.631326,1317.275606
0.773175866,0.091403028,6634.705738,793.8428562
0.161123774,0.003672385,6404.322154,1376.133061
0.045458117,1,6344.0941,1779.646464
0.167344462,0.795557943,6047.378787,1051.554665
0.449055923,0.172921804,5665.493912,1095.385663
0.031957743,0.001,5623.981318,2062.131276
0.016911385,0.455665041,5452.895114,1558.616347
0.152256331,0.019593346,5440.650971,1441.59419
0.023723503,0.002072706,5397.043469,1615.066464
0.947380989,0.145007117,5350.675313,1133.790187
0.278356804,0.802207397,4921.910101,1171.846636
0.038408754,0.007193164,4670.655706,1629.936067
0.001,0.03121904,4321.605633,2154.761938
0.327275488,0.001994864,4197.987889,1614.070579
0.593342866,0.005512737,4160.779261,1735.283014
0.009043581,0.002269164,3641.751792,1584.72871
0.007596278,0.33359819,3234.932456,1629.470014
0.778200479,0.629846422,3024.149898,1756.240952
0.012703841,0.007717837,2875.742092,1576.694188
0.016048018,0.059451084,2782.227142,1435.964676
0.001458689,0.086001399,2766.128337,1914.72901
0.007566666,0.104686039,2744.338178,1490.50497
0.004527742,0.03459474,2467.064326,1554.245246
0.002022544,0.250048212,1831.963552,1646.267715
