TMB,H2O2,predicted_value,uncertainty_std
0.974792529,0.975064241,100928.9267,2155.339882
0.477587313,0.401296982,51756.8198,3342.935817
0.197871659,0.001801071,29266.51077,5685.676595
0.185461764,0.00420762,26081.8172,4966.934134
0.319717822,0.007547592,23170.09255,4332.070796
0.182884356,0.005908043,21911.99378,4719.944191
0.433195205,0.01032821,18523.5892,4905.623497
0.851860355,0.010846571,17863.9017,9649.115342
0.004196406,0.935530608,7737.435832,8617.452126
0.021406299,0.110995706,7093.072159,4415.65607
0.035623566,0.125138773,6241.59846,4377.20241
0.895746357,0.031847976,5798.153475,9395.272797
0.028620008,0.253859851,5476.366014,4772.313339
0.031456829,0.001721047,4863.643234,6270.9129
0.050516671,0.00821378,4613.682048,4235.567852
0.011131333,0.058408139,4482.360211,4184.063479
0.001616292,0.372664648,4481.13894,5722.164422
0.010885565,0.047642177,4130.671065,4212.335282
0.008287,0.147305827,3647.261114,4463.220056
0.008156164,0.068583499,3122.48859,4319.363464
0.008184725,0.008284256,2990.716821,4602.320915
0.00457475,0.015115795,2321.078886,4335.292183
0.002196819,0.001339807,2116.698575,8115.172218
0.001877551,0.001229735,2000.097841,9232.479876
0.001241974,0.002488769,1993.912342,7250.037056
0.082944296,0.105696596,1365.236023,4508.832043
0.002224771,0.020439893,729.2109448,4679.547323
0.00461574,0.115123874,555.7488363,4899.965822
0.002947265,0.038305402,-239.9772659,4605.885341
0.001837108,0.056248179,-913.4589521,5440.876184
0.120467487,0.039902275,-2203.133955,4457.624201
0.194601476,0.045824127,-3672.694983,4248.410825
