TMB,H2O2,predicted_value,uncertainty_std
1,0.075683745,13274.76744,1139.526304
1,0.049481672,13164.3366,1237.664465
0.847258839,0.066973047,13113.77208,1280.873081
0.823750795,0.048595875,12270.89167,1838.022255
0.901404011,0.090458232,11984.07322,1986.371843
0.776361147,0.083748779,11312.19614,2261.178306
0.181878687,0.190498415,8223.547015,2639.896413
0.123649132,0.471649699,8043.296418,2801.743597
0.175534613,0.678889168,7993.69216,2771.16539
0.042938052,0.390223118,6847.312696,2800.411383
0.003971896,0.007391878,6827.282287,2263.838666
0.038511901,0.46144601,6495.168004,2978.326889
0.095214663,0.17750814,5946.55071,984.223337
0.034037987,0.607622496,5771.907319,3186.790067
0.001917526,0.00741903,5729.19527,2874.287387
0.360003715,0.101590378,4705.774719,1907.421105
0.409765636,0.030945655,4646.971629,3220.921503
0.010486241,0.001052769,3968.096253,3046.629516
0.481375332,0.331469846,3858.982027,2968.214308
0.434539805,0.010447027,3846.108976,2767.117235
0.032502695,0.009096032,3439.912663,3175.541018
0.009018142,0.106795003,3247.171988,1020.314242
0.002169918,0.094077168,2992.288905,2843.50602
0.383399768,0.005700261,2720.462601,2668.683035
0.001870371,0.835308938,2248.716689,1878.141999
0.001257853,0.001447566,2193.350802,2927.780858
0.005177168,0.346458207,1989.765191,2514.743959
0.002600534,0.001632275,1881.114863,2638.368754
0.002867415,0.576270406,1483.139989,2366.082684
0.00291089,0.273561811,852.7144846,1988.936087
0.012186356,0.00445451,796.8390228,1150.533677
0.056770584,0.014578862,621.6282365,824.8080656
