TMB,H2O2,predicted_value,uncertainty_std
1,0.574794859,62076.26543,2065.79972
1,0.654473326,61928.66811,3223.443128
1,0.51017453,61302.78622,1644.925461
1,0.747799906,60742.51776,4608.911819
1,0.439484421,59133.41686,2412.01742
0.79861075,0.735028331,58606.78588,4405.80838
0.761498857,0.606630827,58575.2919,2653.969175
1,0.96377304,55969.14354,7182.398984
0.547799397,0.003821236,39859.48554,3112.872442
0.431908753,0.001042705,19630.20398,6481.864436
0.660279605,0.001003832,15267.35956,6196.979226
0.973966392,0.00107652,12631.25312,6126.827168
0.917184527,0.001011856,12435.19659,6484.393077
0.040152396,0.001135407,9629.456595,6825.948419
0.03397548,0.001118602,9067.650882,7301.554602
0.001052761,0.930160179,8361.25865,8232.494251
0.00110608,0.95018974,8345.854858,8039.730165
0.120554579,0.489837959,5027.364302,3181.285835
0.019912294,0.009200481,4428.862627,2141.041505
0.001028143,0.001033737,3959.295891,8208.43586
0.001067469,0.00104297,3772.013527,8032.903814
0.001047811,0.00108467,3722.660426,7757.90156
0.001038207,0.001106565,3700.399004,7617.674528
0.004076666,0.967719599,3520.455897,6795.34851
0.001090822,0.001205181,3251.845467,6721.558884
0.001115429,0.001163328,3250.2516,6970.743859
0.006324746,0.005497952,2989.241043,2287.643797
0.001022463,0.19985873,2936.041919,2425.977039
0.021721062,0.10065812,2080.776153,2708.319963
0.001899745,0.001022007,1741.171125,7396.588374
0.009268861,0.159498133,1693.056033,3328.838142
0.001113233,0.027034876,615.9978126,4375.485843
