TMB,H2O2,predicted_value,uncertainty_std
1,0.064703478,4988.140655,47.96169141
1,0.056107051,4977.705519,68.39206241
0.889614694,0.062267393,4963.331376,88.92679738
1,0.049700717,4925.855326,127.0660643
1,0.077729674,4920.131743,132.0018183
0.873340019,0.052912349,4916.688602,134.4579662
0.847472468,0.072076644,4890.215248,153.7380469
0.876530373,0.085413893,4821.402452,193.0647868
0.775062206,0.058632134,4800.194634,202.9660957
0.964261406,0.040618059,4774.158527,214.141342
1,0.094133163,4772.249734,215.3603519
0.836307132,0.043228411,4755.349597,221.6148653
0.766225416,0.049332697,4731.220784,230.879733
0.139142036,0.515618126,4383.696345,281.8374323
0.129677653,0.002728619,4376.781828,274.3614768
0.11202528,0.003283752,4367.104678,280.4342084
0.272309028,0.421512904,4364.981655,273.7849778
0.594669504,0.070601855,4361.411636,310.1768186
0.180684183,0.689403839,4355.371185,285.2086335
0.10360241,0.004565137,4343.903574,286.2287369
0.264777337,0.518858571,4339.182886,285.1491391
0.188701668,0.173594689,4326.496081,291.4868065
0.132714033,0.009081072,4320.524238,289.0656103
0.105135654,0.60894443,4251.92425,311.0892296
1,0.022071187,4234.198482,321.4989196
0.863294971,0.174968499,4219.333611,326.8519603
0.137702309,0.77432333,4218.02569,321.8565318
0.239337314,0.810538432,4216.498845,317.8760292
0.731411573,0.159651062,4213.811032,325.2907745
0.087584716,1,4185.281795,314.6162877
0.105026121,0.871962236,4168.663867,324.7438511
1,0.015048073,4081.577499,313.414283
