TMB,H2O2,predicted_value,uncertainty_std
0.238284609,0.001,3501.036723,266.4631225
0.128649166,0.001,3492.106318,249.4467479
0.182419049,0.002121328,3480.445656,204.8297312
0.105414609,0.002952572,3471.993091,177.2276363
0.506963713,0.001,3468.829726,296.7509363
0.06786692,0.001984765,3461.088577,191.2810069
0.06147615,0.001,3438.509677,234.184107
0.033892532,0.005390079,3417.861417,149.6405162
1,0.001,3405.82752,334.9457464
0.022400093,0.00524885,3383.35603,146.8003037
0.009786648,0.023491358,3322.589348,142.3022457
0.02287402,0.070920178,3298.090719,138.9304125
0.007736545,0.007861162,3278.830698,138.1881282
0.010253032,0.003845473,3274.476642,144.1948745
0.180547404,0.037780161,3225.808752,126.2402986
0.011507641,0.217269335,3190.099059,130.9763869
0.002166806,0.086673198,3176.136504,165.0484992
0.037105865,0.341823175,3133.25987,132.6123545
0.001,0.038549975,3125.204639,217.6217753
0.015010476,0.481952484,3110.062065,144.5381485
0.0330023,0.464244215,3106.157828,140.7875997
0.001,0.214708658,3079.542699,216.8330427
0.291348066,0.089507802,3064.255861,115.3580623
0.002910005,0.003059923,3063.169375,158.090023
0.033586535,0.718134694,3063.149851,160.1556253
0.00217368,0.004415815,3061.162359,164.0799195
0.177037338,0.221494242,3048.845952,120.7915514
0.137355109,0.333490004,3043.412337,128.6135375
0.015328095,1,3034.637683,184.186119
0.06653943,1,3012.253183,181.1505528
0.001,1,2952.984238,265.7815229
0.770149891,1,2812.583743,258.2183328
