TMB,H2O2,predicted_value,uncertainty_std
0.00949569,0.403635282,6951.685154,418.9703754
0.009577961,0.364842679,6939.95849,413.0258306
0.008938172,0.380994234,6875.238955,413.8429176
0.009367157,0.434845276,6853.239501,465.3294035
0.010012199,0.382331051,6846.567422,476.2368006
0.009922666,0.414244098,6841.35332,484.2845753
0.009910863,0.354041626,6828.413727,469.2885504
0.008871326,0.351512415,6790.236709,428.0161847
0.008960817,0.428817469,6787.486373,469.9603455
0.009167796,0.332445557,6783.700276,438.2736134
0.009586159,0.327780163,6758.558262,467.7068705
0.008676809,0.388821455,6735.013807,455.6140898
0.009814624,0.452497855,6721.574989,533.9482564
0.009531428,0.464790964,6699.148359,535.9130671
0.010251415,0.432304745,6643.162549,567.1586205
0.010440177,0.368025866,6612.442063,567.1585297
0.009015255,0.314358719,6601.179144,479.2394697
0.008648679,0.332440164,6576.892142,472.6706644
0.00846628,0.420474711,6510.6696,528.9250401
0.008903409,0.486192727,6450.965655,593.6873011
0.010224799,0.475250267,6446.666059,632.0722364
0.009965777,0.301035556,6405.052343,576.8397303
0.008299459,0.35411695,6396.169956,511.0460898
0.010565665,0.325277607,6342.586983,631.431105
0.010769703,0.439294649,6304.320845,673.7876541
0.01092234,0.387034116,6300.140976,669.6609528
0.009342789,0.528140385,6261.864693,668.5429617
0.009168419,0.736541648,4763.504667,927.8867849
0.012397445,0.283170266,4736.180469,918.8294361
0.014174569,0.709747594,3558.273765,1013.764625
0.015853518,0.606956256,3363.661423,1017.70447
0.018854017,0.253154024,3141.480758,1019.569732
