tmb,h2o2,cmc,bsa,imidazole,sucrose,edta,pva,feso4,peg20k,peg200k,mgso4,model,acq,pred_mean,pred_sigma,active_count
1.748956542,0.008124905,2,0.109491102,0.03836295,0.001771518,0,0,0,0,0,0,old_mixed_hamming,11.21149837,224038.2148,15934.92956,4
0.003196455,0.007585102,2,0.145676524,0.04380008,0.002533287,0,0,0,0,0,0,old_mixed_hamming,11.1149637,217243.1377,20505.38544,4
2,0.009443435,2,0.201641863,0.059926571,0.103418088,0,0,0,0,0,0,old_mixed_hamming,11.05164855,213132.3264,20543.30646,4
2,0.006782005,2,0.159669372,0.043884891,0,0,0,0,2,0,0,old_mixed_hamming,11.00323996,210151.6552,20960.92299,4
2,0.008667596,2,0.183738851,0.041464278,0,0.044813363,0,0,0,0,0,old_mixed_hamming,11.00260705,210131.4385,20170.57235,4
2,0.010784576,2,1.107278782,0.100830018,0.001543876,0,0,0,0,0,0,old_mixed_hamming,10.99188878,209478.1898,21348.50478,4
0.001,0.010892118,2,0.280408633,0.072527667,0.004374853,0,0,0,0,0,0,old_mixed_hamming,10.95583917,207367.033,21548.42231,4
2,0.009438754,2,0.039065554,0.067621462,0,0,0,0,0,2,0,old_mixed_hamming,10.94991021,207008.142,16253.77451,4
2,0.006392689,2,0.18698023,0.036730916,0,0.035935807,0,0,0,0,0,old_mixed_hamming,10.93088929,205986.1425,23815.13794,4
2,0.007810896,2,0.152862906,0.063250989,0,0,0.273280494,0,0,0,0,old_mixed_hamming,10.85716515,201994.8166,23112.4677,4
2,0.004995592,2,0.018248478,0.021795277,0.001838938,0,0,0,0,0,0,old_mixed_hamming,10.85185959,201714.1049,24778.76842,4
0.001,0.008244192,2,0.095537136,0.035790345,0,0,0,0,0,2,0,old_mixed_hamming,10.83692898,200955.6344,21290.83312,4
0.001,0.009610002,2,0.21467388,0.050680622,0,0.063943714,0,0,0,0,0,old_mixed_hamming,10.79468529,198873.5259,23847.27838,4
0.224227936,0.007992725,0,0.435148289,0.037204433,0.020386277,0,0.119178514,0,0,0,0,old_mixed_hamming,10.78766261,198671.0369,22074.32248,4
2,0.00698853,0,0.147414269,0.040601374,0.001,0,0.151157962,0,0,0,0,old_mixed_hamming,10.78401554,198491.8215,21789.82832,4
2,0.006902281,0,2,0.105366938,0.009643388,0,0.007847723,0,0,0,0,old_mixed_hamming,10.74698613,196737.3487,24816.37047,4
2,0.008346379,2,0.151464828,0.106037398,0,0,0,2,0,0,0,old_mixed_hamming,10.71933777,195337.2256,23893.14931,4
2,0.006117823,2,2,0.207896712,0.004462757,0,0,0,0,0,0,old_mixed_hamming,10.70324849,194413.3441,28549.48597,4
0.010536974,0.008180683,2,2,0.088834015,1.225690208,0,0,0,0,0,0,old_mixed_hamming,10.63339314,190936.5951,29543.13086,4
0.029634254,0.009072504,0,2,0.096308431,0.024118565,0,0,0,0,2,0,old_mixed_hamming,10.61004195,190681.3932,24838.13353,4
0.001,0.008361619,2,0.092590906,0.124713637,0,0,0,2,0,0,0,old_mixed_hamming,10.57097574,188715.8622,25823.53569,4
0.0030057,0.005236348,2,0.770116908,0.065887071,0,0,0.006418343,0,0,0,0,old_mixed_hamming,10.57554294,188501.5367,28693.35278,4
0.002058605,0.008295595,0.092789409,0.85688395,0.052779277,0,0,0,2,0,0,0,old_mixed_hamming,10.40403395,182254.3909,25903.42739,4
0.001798403,0.005598802,0,2,0.127694718,0.004337917,0,0,0,0,0,0.001,old_mixed_hamming,10.39979374,181332.3309,29199.56797,4
0.015328493,0.009295405,0,2,0.525756925,0.054550614,0,0.001,0,0,0,0,old_mixed_hamming,10.36671622,180328.5329,28267.75144,4
0.002721468,0.007103851,0,1.579995444,0.108890557,0,0.052794462,0.120106751,0,0,0,0,old_mixed_hamming,10.239153,175398.2625,29562.69693,4
2,0.009191291,0,2,0.105323963,0,0.40288623,0.062544734,0,0,0,0,old_mixed_hamming,10.20859413,174335.0628,29624.47199,4
2,0.013321188,0,0.302245003,0.11580585,2,0,0,0,2,0,0,old_mixed_hamming,10.11609564,171953.2951,27893.79874,4
2,0.004975159,0,2,0.372575331,0.012933808,0,0.289908992,0,0,0,0,old_mixed_hamming,10.07170979,168477.6719,32982.37853,4
2,0.016497275,0,0.34341049,0.134815627,2,0,0.050444224,0,0,0,0,old_mixed_hamming,9.929115607,165293.6537,30428.68765,4
0.001293863,0.01809148,2,2,0.233694671,0,0.017668135,0,0,0,0,0,old_mixed_hamming,9.808409253,160858.3795,31638.29716,4
2,0.002532654,2,0.691097041,0.10061043,0.016820449,0,0,0,0,0,0,old_mixed_hamming,9.724479367,156208.877,34988.99091,4
