TMB,H2O2,predicted_value,uncertainty_std
0.820262449,0.116407019,12528.64012,979.2136438
0.957270518,0.12795132,12252.94335,1489.079361
0.695271192,0.122293197,11555.31169,538.6239095
0.312828702,0.007469116,8123.583279,781.6516294
0.488548093,0.102026519,7373.394069,653.0041701
0.375433698,0.03514364,6944.615403,503.8464547
0.399934055,0.050457187,6762.95301,629.8859226
0.47611388,0.213562843,5047.534217,426.2026475
0.17401173,0.006377502,5004.599803,1193.294044
0.18525887,0.022333075,4168.561138,1197.336215
0.563615951,0.476070658,4081.838481,892.5722552
0.209768386,0.122414984,3941.294639,642.0854994
0.172571066,0.014484111,3839.691714,830.1104828
0.471403618,0.529002964,1806.298037,1235.888593
0.131126716,0.048770604,952.7861949,682.1802339
0.909716911,0.005231365,884.8796616,2736.15466
0.235915905,0.352360182,803.7341741,433.1082109
0.065001003,0.228852855,789.7529317,934.7855465
0.011801501,0.441283217,576.5210494,2333.181031
0.00543333,0.006057153,501.7092629,2021.801018
0.013775838,0.26674075,264.2418711,2268.81481
0.082003295,0.693176209,233.3575313,730.1393881
0.016335672,0.023010923,131.8468524,524.5670127
0.135082291,0.481828889,14.60687078,1516.823799
0.011928621,0.05029619,12.55920846,511.8495303
0.02308526,0.012614404,-109.064561,778.1136304
0.043058873,0.34096154,-260.9275853,627.7731279
0.034224542,0.025954828,-324.3427211,687.3089264
0.097659422,0.032944329,-370.282548,433.8071088
0.045445655,0.596148303,-468.3529017,579.6628751
0.023864657,0.150618291,-607.1439072,1653.284536
0.035002674,0.475238512,-705.7601089,880.4541048
