TMB,H2O2,predicted_value,uncertainty_std
1,0.008232125,10983.35767,1352.013961
1,0.005,10972.34338,1463.138738
0.884882632,0.005,10959.87573,1353.322934
1,0.013044806,10956.96541,1252.349186
0.877395561,0.008024252,10942.02072,1237.749332
0.826343055,0.005,10926.89588,1295.209594
0.890477105,0.011648357,10914.3599,1168.245616
1,0.018932611,10909.98071,1174.510179
0.767623511,0.005,10870.11112,1235.721982
0.885726816,0.017495065,10843.85864,1076.453138
0.794449077,0.010527405,10825.15771,1092.810805
1,0.031884634,10806.55885,1071.500921
0.684718792,0.005,10738.24253,1150.50878
1,0.044507239,10718.12687,1010.593599
0.71923708,0.010097139,10700.8943,1024.913523
0.845514917,0.028060484,10676.00082,939.9924286
0.61763747,0.005,10573.99668,1081.558595
1,0.070169043,10570.91663,936.451239
0.774379085,0.027834385,10546.43953,869.8958535
0.635373173,0.0114459,10446.04101,912.9933615
0.829557375,0.058359722,10388.71505,794.0261947
1,0.112557377,10388.07024,874.8314872
0.542969468,0.005,10310.33571,1006.465656
1,0.1422327,10287.14061,851.9288996
0.714099549,0.042715704,10224.08157,734.2610641
0.485626392,0.005,10032.47379,951.3498268
0.769083959,0.093344682,10025.72091,673.3880678
1,0.296458554,9931.482444,822.9503816
1,0.474890117,9677.393252,844.4433931
0.417874405,0.005,9592.944301,890.9022167
1,1,9246.392712,943.0672044
0.783629168,1,8678.111159,823.2116276
