TMB,H2O2,predicted_value,uncertainty_std
0.074052003,0.325679073,8290.827224,1074.021608
0.061268021,0.257007323,8234.285575,1185.946935
0.055462072,0.347433096,8175.850973,1171.148736
0.064024767,0.17333767,7833.015215,1277.298536
0.043089622,0.239406301,7798.124547,1299.61159
1,0.022497284,7716.549294,1322.907185
0.070846279,0.002779763,7063.495762,1483.628746
1,0.015987862,6938.145755,1604.805316
0.130531328,0.094732258,6924.825897,1281.704861
0.090337853,0.001949742,6912.658454,1535.388827
0.114635105,0.002428441,6843.774751,1452.640137
0.260451983,0.082372133,6770.197857,1180.412728
0.050037495,0.002598077,6755.24157,1527.709572
0.079697242,0.005319091,6495.428332,1528.572022
0.047765214,1,6386.685146,1761.062064
0.052864488,0.004362108,6333.849053,1556.306838
0.384589971,0.015053009,6153.783404,1398.266822
0.023149823,0.571339137,6125.417028,1553.081588
0.034013632,1,5990.275288,1868.722224
0.041479034,0.001,5915.541962,2015.414166
0.144641232,0.001,5371.030545,2010.904726
0.02379385,0.001,5196.661002,2099.751108
0.001,0.009297654,5113.092688,1982.517808
0.001,0.006173756,4790.897477,2064.502054
0.001,0.023699438,4658.010643,2077.64096
0.001,0.042810162,3909.305883,2218.159761
0.009425087,0.001,3716.895514,2055.36944
0.342030574,0.001,3549.30227,2157.770649
1,1,2703.928624,2238.871217
0.001,1,2442.611251,2652.146913
0.001,0.001,2396.40239,2698.64169
1,0.001,2180.011699,2612.658526
