TMB,H2O2,predicted_value,uncertainty_std
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,1,102036.3736,2332.075478
1,0.932963457,101104.3311,2053.228159
