TMB,H2O2,predicted_value,uncertainty_std
0.750855693,0.019661098,32387.34569,2453.453409
0.750772793,0.020239209,32377.91165,2353.344663
0.706452178,0.019909195,32307.38531,2466.651683
0.795262437,0.02011002,32261.43987,2330.29548
0.793102828,0.019476906,32229.15189,2425.964221
0.737895182,0.020774121,32169.47802,2290.752136
0.689181971,0.020682218,32021.92651,2338.609971
0.805954311,0.020844941,31915.54462,2248.598821
0.756520699,0.018676474,31854.78137,2663.675549
0.667649655,0.019246532,31779.10445,2710.490494
0.856469277,0.020166637,31751.46711,2292.787442
0.842446974,0.019103079,31731.77181,2422.687937
0.644446916,0.0201467,31664.08944,2497.031949
0.733227244,0.021780552,31296.74987,2207.541674
0.683950396,0.018441894,31278.20428,2931.298603
0.78747036,0.021722322,31261.50444,2197.687895
0.797560204,0.01794788,30942.24199,2737.594097
0.869905332,0.021373337,30937.0969,2219.533774
0.602184476,0.021025112,30523.99175,2361.536184
0.70627719,0.022519703,30233.88908,2191.232464
0.576175178,0.019910958,30114.30038,2692.034732
0.650179035,0.017857983,30040.67547,3253.681708
0.728076508,0.017309584,29856.36667,3156.750359
0.601636173,0.01840329,29821.73615,3196.059809
1,0.019925188,29685.13428,2457.444821
1,0.021023707,29298.73431,2419.439018
0.566171684,0.017611261,27627.98227,3654.200658
0.365318608,0.065030006,27315.20183,2420.415662
0.380099327,0.062990893,27088.71573,2445.585619
0.372643,0.067967037,27035.13495,2399.67292
0.362871133,0.060948498,26884.72509,2479.863154
0.340488103,0.069594048,26850.0318,2330.682315
