"var","mean","sd"
"etoh",0.471043146468412,3.84923664293681
"peg20k",0.0942086292936824,0.769847328586478
"dmso",0.942086292933409,7.69847328586237
"pl127",0.0942086292936824,0.769847328586478
"bsa",0.00942086292828685,0.0769847328565224
"pva",0.235521573235629,1.92461832148297
"tw80",0.0942086292936824,0.769847328586478
"glycerol",0.471043146468412,3.84923664293681
"tw20",0.0942086292936824,0.769847328586478
"imidazole",0.0942086292936824,0.769847328586478
"tx100",0.0942086292936824,0.769847328586478
"edta",0.0942086292936824,0.769847328586478
"mgcl2",0.0942086292936824,0.769847328586478
"sucrose",0.471043146468412,3.84923664293681
"cacl2",0.0942086292936824,0.769847328586478
"zn2",0.00942086292828685,0.0769847328565224
"paa",0.0942086292936824,0.769847328586478
"mn2",0.00942086292828685,0.0769847328565224
"peg200k",0.0471043146459875,0.384923664292872
"fe2",0.00942086292828685,0.0769847328565224
"peg5k",0.0942086292936824,0.769847328586478
"peg400",0.0942086292936824,0.769847328586478
