HRP,model,TMB,H2O2,predicted_value,uncertainty_std,default_observation_std
0.001,fixed_sem_shrunk,0.611603907,0.021297442,2834.410629,266.2031229,283.2672408
0.001,fixed_sem_shrunk,0.608873413,0.022466325,2829.519995,232.2528916,251.6299519
0.001,fixed_sem_shrunk,0.587614668,0.023029234,2818.706302,219.4984949,239.9079331
0.001,fixed_sem_shrunk,0.614636664,0.020053319,2814.49422,249.4246862,267.5610232
0.001,fixed_sem_shrunk,0.63295195,0.021547836,2805.976454,257.1443983,274.7716664
0.001,fixed_sem_shrunk,0.582092505,0.024088396,2801.819422,167.5539097,193.5214193
0.001,fixed_sem_shrunk,0.589619141,0.021398706,2796.957512,264.8394528,281.9861039
0.001,fixed_sem_shrunk,0.655302257,0.021218083,2730.111855,262.519539,279.8083906
0.001,fixed_sem_shrunk,0.604362613,0.01820056,2648.854343,297.4002409,312.7668946
0.001,fixed_sem_shrunk,0.62080083,0.017768622,2608.648299,293.4707289,309.0328393
0.001,fixed_sem_shrunk,0.676398296,0.021129419,2606.090354,286.6188294,302.5336022
0.001,fixed_sem_shrunk,0.699915152,0.041453251,2605.451314,323.0465379,337.2466349
0.001,fixed_sem_shrunk,0.65400217,0.041231441,2538.370112,352.2634911,365.3297062
0.001,fixed_sem_shrunk,0.684567714,0.043393482,2532.881207,407.7222509,419.0628365
0.001,fixed_sem_shrunk,0.654150749,0.044705775,2441.334566,434.1365211,444.8041659
0.001,fixed_sem_shrunk,0.740984144,0.045692188,2380.179948,424.4837093,435.3879265
0.001,fixed_sem_shrunk,0.692321917,0.047162493,2375.52436,477.1525572,486.8786192
0.001,fixed_sem_shrunk,0.663186352,0.047335697,2363.967551,471.492784,481.3332239
0.001,fixed_sem_shrunk,0.654577152,0.016652919,2330.218841,384.0701261,396.0884861
0.001,fixed_sem_shrunk,0.610159878,0.016066971,2275.234186,477.6869309,487.4023297
0.001,fixed_sem_shrunk,0.767480229,0.034687449,2251.242723,353.1442388,366.1790279
0.001,fixed_sem_shrunk,0.824697651,0.043498451,2114.922415,442.4274548,452.8998563
0.001,fixed_sem_shrunk,1,0.015177731,2068.721775,433.8878825,444.5614936
0.001,fixed_sem_shrunk,0.880178386,0.041189104,1815.056394,553.2730726,561.6825793
0.001,fixed_sem_shrunk,0.569545723,0.013981047,1800.775782,621.9514027,629.44402
0.001,fixed_sem_shrunk,0.501143638,0.076760863,1641.587593,546.9030651,555.4090292
0.001,fixed_sem_shrunk,0.629070394,0.013106845,1579.453272,683.2085538,690.0363433
0.001,fixed_sem_shrunk,0.955954738,0.043431655,1528.667328,635.7499312,643.0818005
0.001,fixed_sem_shrunk,1,0.157965547,1057.779755,743.2456477,749.5267306
0.001,fixed_sem_shrunk,0.301514468,0.005,1031.004084,747.2882912,753.5356775
0.001,fixed_sem_shrunk,0.277562771,0.006873683,972.5900597,744.8851582,751.1525318
0.001,fixed_sem_shrunk,1,0.595349225,937.7674058,773.3658051,779.4041927
0.01,fixed_sem_shrunk,0.88742913,0.070997676,8970.861341,196.978385,387.0532754
0.01,fixed_sem_shrunk,0.850432612,0.069477712,8967.257094,183.8564554,380.5429674
0.01,fixed_sem_shrunk,0.825620699,0.069794389,8956.804237,179.887241,378.6412198
0.01,fixed_sem_shrunk,0.832335806,0.071053906,8953.688018,188.167498,382.6444317
