TMB_log10,TMB,H2O2_log10,H2O2
-0.044632273,0.902334842,-0.225414616,0.595093744
-0.122580984,0.754082767,-2.108266384,0.007793519
-0.211545266,0.61440499,-1.102642498,0.078950976
-0.261545229,0.54758907,-1.649110664,0.022433102
-0.295689744,0.506186147,-0.722115613,0.189620107
-0.409189358,0.389772004,-0.513742788,0.306377743
-0.441510013,0.361817849,-1.868249085,0.013544124
-0.533451887,0.292784521,-1.406934614,0.039180086
-0.579107227,0.263568056,-0.959126159,0.109868663
-0.66461532,0.216463502,-0.090899358,0.811149009
-0.734259068,0.184391515,-2.273146802,0.005331546
-0.834258761,0.14646749,-1.334755716,0.046264118
-0.920458174,0.120099673,-0.651454098,0.223123802
-0.978793034,0.105004271,-1.888951699,0.012913629
-1.051212528,0.088876608,-0.383086541,0.413917186
-1.105941461,0.078353525,-1.549050879,0.028245491
-1.202999946,0.062661394,-0.89742372,0.126641568
-1.253028491,0.055843356,-1.953846874,0.011121238
-1.297760308,0.050377857,-0.019739756,0.955565021
-1.373553159,0.042310372,-1.171534467,0.067369843
-1.476228789,0.033401903,-1.709682965,0.019512685
-1.544255974,0.028559068,-0.857306072,0.13889734
-1.623042262,0.023820877,-0.318667986,0.48010034
-1.679799481,0.02090261,-2.165026775,0.006838695
-1.749587385,0.017799697,-0.458051888,0.3482957
-1.811347905,0.015440171,-1.488005267,0.032508336
-1.885929697,0.013003801,-1.028811204,0.09358124
-1.961291245,0.01093223,-1.762632156,0.017273003
-2.041360178,0.00909159,-0.186780212,0.650458791
-2.107163446,0.007813337,-1.274959572,0.053093387
-2.165288108,0.006834581,-2.025114716,0.009438115
-2.28645019,0.005170706,-0.611107048,0.244845966
