HRP,scheme,sem_sd_min,sem_sd_med,sem_sd_max,ls_TMB,ls_H2O2,z_mean,z_std,abs_z_gt2_pct,abs_z_gt3_pct,mae
1,raw_a0,7.614648029303392,28.19419922279289,633.1898853841869,0.5154197844124818,0.41144661639538893,0.08736184261822125,1.3245203103655951,6.25,3.125,819.3567181568358
1,floor_p25,15.732729080473991,28.19419922279289,633.1898853841869,0.5154393292388147,0.41146834706600216,0.08736013934467625,1.3245021143640316,6.25,3.125,819.3608343463229
1,floor_p50,28.7567831360658,31.305672557017324,633.1898853841869,0.5153383358482158,0.41138040422584554,0.08731264252255728,1.324404356400217,6.25,3.125,819.3775669061263
1,floor_p75,94.10529154356252,94.10529154356252,633.1898853841869,0.5136426420565928,0.40981229916477024,0.1064819681954925,1.3551562366712844,9.375,3.125,844.4489523988857
1,shrunk_a0.25_med,15.818511072199877,28.447311382462793,548.5470001364637,0.5048979275934952,0.40171525271120173,0.07914420309434311,1.3081067208808843,6.25,3.125,822.0716119660486
1,shrunk_a0.5_mean,147.97605532220814,149.26859025983003,471.5216187968862,0.49704362963311133,0.39570386869819996,0.07152935092600379,1.298754359756873,6.25,3.125,824.7824184239089
0.01,raw_a0,5.839646424918809,26.109741069621506,620.931281097855,0.7387502806099899,0.8465693714351878,0.02755932407283368,0.985959251598682,3.125,3.125,657.0214894373831
0.01,floor_p25,13.667479303788292,26.109741069621506,620.931281097855,0.7387562682852966,0.8465620748415489,0.027553837853251828,0.9859566923637693,3.125,3.125,657.0171410211783
0.01,floor_p50,26.115692741364157,26.391476945070046,620.931281097855,0.7386881096328105,0.8464652267425508,0.02751227594729319,0.9858971941319546,3.125,3.125,657.017960540989
0.01,floor_p75,100.03991187820267,100.03991187820267,620.931281097855,0.7353947047042038,0.8439371083732825,0.026344590821138353,0.9841390975681035,3.125,3.125,657.4321976052943
0.01,shrunk_a0.25_med,14.002980204813023,26.11234576078814,537.9007801037361,0.7313825489441295,0.8472393288279654,0.022925326047812944,0.9720231388642803,3.125,3.125,654.6841826669361
0.01,shrunk_a0.5_mean,125.90229940352282,127.18234818001287,456.7408085367696,0.7239281466885479,0.8513068158129519,0.018383722583932505,0.961209186813157,3.125,3.125,653.8230397457296
0.0001,raw_a0,6.719040389807774,21.97261610131337,208.3004044442435,0.12188972166047275,0.11882444273583019,0.030384560241085018,1.325122452387902,12.5,3.125,265.4659817567732
0.0001,floor_p25,16.24452221000722,21.97261610131337,208.3004044442435,0.12196509361485881,0.11887594406642349,0.04960258658603134,1.3243682482179242,12.5,3.125,267.0039193176866
0.0001,floor_p50,21.97565823532898,22.156959855840164,208.3004044442435,0.12248657022602462,0.11904841152743167,0.0462798510679554,1.3301262418716946,12.5,3.125,268.3105811102067
0.0001,floor_p75,31.26402394729979,31.26402394729979,208.3004044442435,0.12372651856596398,0.11950371905902495,0.030932493009215217,1.3294334356685273,12.5,3.125,265.5795816748945
0.0001,shrunk_a0.25_med,12.433483684748081,21.973947294094074,180.72776836293187,0.1191297716022339,0.11395403614396342,0.02241134028484637,1.3198045103530738,12.5,3.125,265.634273122521
0.0001,shrunk_a0.5_mean,37.44830617630087,40.264844562315105,151.90237697090768,0.11939282935952757,0.110770650135829,0.01230833666158429,1.314491228850601,12.5,3.125,265.74538317903625
