additive,conc_lengthscale
cacl2,0.07530238998498145
imidazole,0.08242772107412737
pl127,0.11679631760868892
dmso,0.14069351183093806
tw80,0.15643427800859094
glycerol,0.15689773467034923
paa,0.21715192960014945
pva,0.24721290993597114
tx100,0.2605569921856721
feso4,0.26790224791354283
mncl2,0.27620704238395566
sucrose,0.28201019451230847
peg200k,0.2901198592662109
cmc,0.2923338142354956
mgso4,0.293154527923678
tw20,0.29923110342697407
peg6k,0.30090583249910147
edta,0.30416109773460354
peg400,0.3150996087753028
peg20k,0.31669773610976587
bsa,0.31991519457187145
znso4,0.411902681418108
