model,seed,n_params,fit_seconds,mll,train_rmse,train_mae,train_r2,train_z_mean,train_z_std,train_frac_abs_z_gt_2,train_frac_abs_z_gt_3,target_std,kernel_diag_min,kernel_diag_max,noise_standardized,eig_min,eig_max,condition_number,loo_rmse_model_space,loo_mae_model_space,loo_z_mean,loo_z_std,loo_frac_abs_z_gt_2,loo_frac_abs_z_gt_3,loo_cholesky_jitter,baseline_outputscale,baseline_c0,baseline_main_scale,baseline_effective_c0,baseline_effective_main_scale,baseline_ess_lengthscale__0,baseline_ess_lengthscale__1,baseline_conc_lengthscale__cmc,baseline_conc_lengthscale__peg20k,baseline_conc_lengthscale__dmso,baseline_conc_lengthscale__pl127,baseline_conc_lengthscale__bsa,baseline_conc_lengthscale__pva,baseline_conc_lengthscale__tw80,baseline_conc_lengthscale__glycerol,baseline_conc_lengthscale__tw20,baseline_conc_lengthscale__imidazole,baseline_conc_lengthscale__tx100,baseline_conc_lengthscale__edta,baseline_conc_lengthscale__mgso4,baseline_conc_lengthscale__sucrose,baseline_conc_lengthscale__cacl2,baseline_conc_lengthscale__znso4,baseline_conc_lengthscale__paa,baseline_conc_lengthscale__mncl2,baseline_conc_lengthscale__peg200k,baseline_conc_lengthscale__feso4,baseline_conc_lengthscale__peg6k,baseline_conc_lengthscale__peg400,wall_seconds_including_fit_call,per_add_alpha_outputscale,per_add_alpha_c0,per_add_alpha_effective_c0,per_add_alpha_ess_lengthscale__0,per_add_alpha_ess_lengthscale__1,per_add_alpha_conc_lengthscale__cmc,per_add_alpha_conc_lengthscale__peg20k,per_add_alpha_conc_lengthscale__dmso,per_add_alpha_conc_lengthscale__pl127,per_add_alpha_conc_lengthscale__bsa,per_add_alpha_conc_lengthscale__pva,per_add_alpha_conc_lengthscale__tw80,per_add_alpha_conc_lengthscale__glycerol,per_add_alpha_conc_lengthscale__tw20,per_add_alpha_conc_lengthscale__imidazole,per_add_alpha_conc_lengthscale__tx100,per_add_alpha_conc_lengthscale__edta,per_add_alpha_conc_lengthscale__mgso4,per_add_alpha_conc_lengthscale__sucrose,per_add_alpha_conc_lengthscale__cacl2,per_add_alpha_conc_lengthscale__znso4,per_add_alpha_conc_lengthscale__paa,per_add_alpha_conc_lengthscale__mncl2,per_add_alpha_conc_lengthscale__peg200k,per_add_alpha_conc_lengthscale__feso4,per_add_alpha_conc_lengthscale__peg6k,per_add_alpha_conc_lengthscale__peg400,per_add_alpha_alpha__cmc,per_add_alpha_alpha__peg20k,per_add_alpha_alpha__dmso,per_add_alpha_alpha__pl127,per_add_alpha_alpha__bsa,per_add_alpha_alpha__pva,per_add_alpha_alpha__tw80,per_add_alpha_alpha__glycerol,per_add_alpha_alpha__tw20,per_add_alpha_alpha__imidazole,per_add_alpha_alpha__tx100,per_add_alpha_alpha__edta,per_add_alpha_alpha__mgso4,per_add_alpha_alpha__sucrose,per_add_alpha_alpha__cacl2,per_add_alpha_alpha__znso4,per_add_alpha_alpha__paa,per_add_alpha_alpha__mncl2,per_add_alpha_alpha__peg200k,per_add_alpha_alpha__feso4,per_add_alpha_alpha__peg6k,per_add_alpha_alpha__peg400,per_add_alpha_effective_alpha__cmc,per_add_alpha_effective_alpha__peg20k,per_add_alpha_effective_alpha__dmso,per_add_alpha_effective_alpha__pl127,per_add_alpha_effective_alpha__bsa,per_add_alpha_effective_alpha__pva,per_add_alpha_effective_alpha__tw80,per_add_alpha_effective_alpha__glycerol,per_add_alpha_effective_alpha__tw20,per_add_alpha_effective_alpha__imidazole,per_add_alpha_effective_alpha__tx100,per_add_alpha_effective_alpha__edta,per_add_alpha_effective_alpha__mgso4,per_add_alpha_effective_alpha__sucrose,per_add_alpha_effective_alpha__cacl2,per_add_alpha_effective_alpha__znso4,per_add_alpha_effective_alpha__paa,per_add_alpha_effective_alpha__mncl2,per_add_alpha_effective_alpha__peg200k,per_add_alpha_effective_alpha__feso4,per_add_alpha_effective_alpha__peg6k,per_add_alpha_effective_alpha__peg400,per_add_alpha_alpha_min,per_add_alpha_alpha_median,per_add_alpha_alpha_max,per_add_alpha_effective_alpha_min,per_add_alpha_effective_alpha_median,per_add_alpha_effective_alpha_max,per_add_alpha_set_scale,per_add_alpha_effective_set_scale,variant_set_scale,variant_add_scale
baseline_kernel,0,27,4.497326135635376,-0.31315359331501474,6474.495489375866,4637.234641311236,0.9391138464706786,-0.0010913614422537092,0.8727711368068505,0.03587443946188341,0.013452914798206279,26268.428212169514,0.6770398235878037,0.9703864660907029,0.07255091286728703,0.07255091286728543,285.7102822415953,3938.0659863540795,0.2899850504700003,0.21161512403827118,0.0009586801714218374,0.9800010150916991,0.04708520179372197,0.017937219730941704,0.0,1.1028167007258158,0.6139187256977626,0.13299882125009255,0.6770398235878037,0.14667332125144958,0.6547052868029574,0.08139305279627206,0.2923338142354956,0.31669773610976587,0.14069351183093806,0.11679631760868892,0.31991519457187145,0.24721290993597114,0.15643427800859094,0.15689773467034923,0.29923110342697407,0.08242772107412737,0.2605569921856721,0.30416109773460354,0.293154527923678,0.28201019451230847,0.07530238998498145,0.411902681418108,0.21715192960014945,0.27620704238395566,0.2901198592662109,0.26790224791354283,0.30090583249910147,0.3150996087753028,5.109679222106934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
per_add_alpha,0,49,6.682652950286865,-0.10822421479685758,1760.7646778807914,1251.1037465027152,0.9954969236765884,-0.0009416773222809336,0.5044600514202328,0.004484304932735426,0.0,26268.428212169514,0.6421342432928105,1.3173971825679844,0.012760857987819143,0.01276085798781854,156.73066691195137,12282.141769900252,0.27097068732222745,0.1946677798635856,0.00579801923656399,1.0041040004039272,0.06278026905829596,0.006726457399103139,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.934632062911987,0.5201270991287222,0.6493557519461656,0.33774752356230925,1.174151787317041,0.682507193531339,0.38911783271217887,0.38553766293219743,0.31691969595940617,0.2532983753928546,0.25598806564664933,0.49211402991647013,0.138791053662776,0.23005914896967627,0.3905001533501512,0.706045184417768,0.3237676016098827,0.28481428680876336,0.160834796660877,0.12199722459542388,0.12219428413659705,0.29422156520166354,0.08987031095039831,0.1877822860546727,0.21098221579092172,0.2084800500107247,0.3004244962331551,0.3617133559214999,0.18967309693176962,0.12673456350506573,0.1603075267260833,0.15814822577341256,0.2549621553104803,0.15407662979707254,0.14715720329155854,0.13475475046523078,0.1204885665056476,0.4609676807196788,0.12905196626919635,0.17024116580757653,0.28187747532354324,0.16359087457605864,0.8372975709973026,0.16310240480841895,0.16234999738868644,0.2587914126193642,0.13463458745427304,0.18561212043784608,0.12924198207968568,0.12227826709474889,0.09865411768988228,0.06591808087523467,0.08338028884453783,0.0822571779038793,0.13261272622924686,0.08013943049988138,0.076540449263934,0.07008959745329532,0.06266936857476062,0.23976178256482156,0.0671234248524548,0.08854704372378659,0.14661211354976253,0.08508804703717603,0.4355011567103524,0.0848339806739215,0.08444263318533311,0.13460442672513412,0.0700270974149833,0.0965418937664679,0.06722225722475321,0.06360024035047883,0.1204885665056476,0.1613287620573849,0.8372975709973026,0.06266936857476062,0.08391146101493546,0.4355011567103524,0.5852160370809119,0.3043867197305014,0.5852160370809119,
add_composition,0,28,5.765255451202393,-0.3102162070374225,6480.987325775192,4644.959984192363,0.9389916868030586,-0.0011328530841642457,0.8734247421582909,0.03587443946188341,0.013452914798206279,26268.428212169514,1.0876294976480663,1.3683259383075908,0.07257286185105082,0.07257286185104925,456.110274872006,6284.859977110185,0.2912098044999895,0.2120409671402107,0.0009634009651205972,0.9814940520495302,0.04708520179372197,0.017937219730941704,0.0,0.9784180803428849,0.18196654363762488,0.23384625151171815,0.17803935631255474,0.22879940049947473,0.7048915864174844,0.0914384116533423,0.28936112930571684,0.31295205255780745,0.13996252553210256,0.11237064481117874,0.3199274337625863,0.2415081965724572,0.15405661374502133,0.15466678373490708,0.2952741146838912,0.08230657233693285,0.25850176745948833,0.30099090235702386,0.29193877889653685,0.2739249122467964,0.07500798685872764,0.4195082389716126,0.21262699518687964,0.28289974772183474,0.28582797483048206,0.2648535699320079,0.29702852808059094,0.31174599058741825,5.972066640853882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6134116611467452
baseline_set,0,28,6.128827810287476,-0.15097008582353463,1696.5723428669824,1191.3734372186848,0.9958192765629784,-0.0007563281483741066,0.5009468124911791,0.004484304932735426,0.0,26268.428212169514,0.7431672893635887,0.9736309646106793,0.012063923363090404,0.012063923363089963,196.05188358573474,16251.088280746462,0.2725036952307539,0.1952080131006061,0.010356354135242728,1.0023022458217896,0.06053811659192825,0.004484304932735426,0.0,0.9834562061565826,0.4336515774671975,0.11717027855656087,0.4264773351697074,0.11523183762354533,1.0694173734523633,0.7240190902466466,0.39371301003461817,0.39245637556556656,0.3344801867756626,0.2720160959324424,0.2490281495851684,0.4897077885517736,0.15669577782605038,0.22274783301003342,0.40596820941398726,0.6200737684551618,0.35080842987739563,0.31289430213122765,0.15874578289591273,0.16755665280201823,0.08071421414746145,0.32384194306531594,0.07257684897283154,0.18980990775315945,0.23470035645011256,0.16782119881685092,0.2981288194572413,0.36217002493322725,6.3436267375946045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32201734272594434,
baseline_kernel,1,27,4.4883341789245605,-0.31315359331501474,6474.495489375866,4637.234641311236,0.9391138464706786,-0.0010913614422537092,0.8727711368068505,0.03587443946188341,0.013452914798206279,26268.428212169514,0.6770398235878037,0.9703864660907029,0.07255091286728703,0.07255091286728543,285.7102822415953,3938.0659863540795,0.2899850504700003,0.21161512403827118,0.0009586801714218374,0.9800010150916991,0.04708520179372197,0.017937219730941704,0.0,1.1028167007258158,0.6139187256977626,0.13299882125009255,0.6770398235878037,0.14667332125144958,0.6547052868029574,0.08139305279627206,0.2923338142354956,0.31669773610976587,0.14069351183093806,0.11679631760868892,0.31991519457187145,0.24721290993597114,0.15643427800859094,0.15689773467034923,0.29923110342697407,0.08242772107412737,0.2605569921856721,0.30416109773460354,0.293154527923678,0.28201019451230847,0.07530238998498145,0.411902681418108,0.21715192960014945,0.27620704238395566,0.2901198592662109,0.26790224791354283,0.30090583249910147,0.3150996087753028,4.635212659835815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
per_add_alpha,1,49,4.907327175140381,-0.10822421479685758,1760.7646778807914,1251.1037465027152,0.9954969236765884,-0.0009416773222809336,0.5044600514202328,0.004484304932735426,0.0,26268.428212169514,0.6421342432928105,1.3173971825679844,0.012760857987819143,0.01276085798781854,156.73066691195137,12282.141769900252,0.27097068732222745,0.1946677798635856,0.00579801923656399,1.0041040004039272,0.06278026905829596,0.006726457399103139,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.077521085739136,0.5201270991287222,0.6493557519461656,0.33774752356230925,1.174151787317041,0.682507193531339,0.38911783271217887,0.38553766293219743,0.31691969595940617,0.2532983753928546,0.25598806564664933,0.49211402991647013,0.138791053662776,0.23005914896967627,0.3905001533501512,0.706045184417768,0.3237676016098827,0.28481428680876336,0.160834796660877,0.12199722459542388,0.12219428413659705,0.29422156520166354,0.08987031095039831,0.1877822860546727,0.21098221579092172,0.2084800500107247,0.3004244962331551,0.3617133559214999,0.18967309693176962,0.12673456350506573,0.1603075267260833,0.15814822577341256,0.2549621553104803,0.15407662979707254,0.14715720329155854,0.13475475046523078,0.1204885665056476,0.4609676807196788,0.12905196626919635,0.17024116580757653,0.28187747532354324,0.16359087457605864,0.8372975709973026,0.16310240480841895,0.16234999738868644,0.2587914126193642,0.13463458745427304,0.18561212043784608,0.12924198207968568,0.12227826709474889,0.09865411768988228,0.06591808087523467,0.08338028884453783,0.0822571779038793,0.13261272622924686,0.08013943049988138,0.076540449263934,0.07008959745329532,0.06266936857476062,0.23976178256482156,0.0671234248524548,0.08854704372378659,0.14661211354976253,0.08508804703717603,0.4355011567103524,0.0848339806739215,0.08444263318533311,0.13460442672513412,0.0700270974149833,0.0965418937664679,0.06722225722475321,0.06360024035047883,0.1204885665056476,0.1613287620573849,0.8372975709973026,0.06266936857476062,0.08391146101493546,0.4355011567103524,0.5852160370809119,0.3043867197305014,0.5852160370809119,
add_composition,1,28,5.12500786781311,-0.3102162070374225,6480.987325775192,4644.959984192363,0.9389916868030586,-0.0011328530841642457,0.8734247421582909,0.03587443946188341,0.013452914798206279,26268.428212169514,1.0876294976480663,1.3683259383075908,0.07257286185105082,0.07257286185104925,456.110274872006,6284.859977110185,0.2912098044999895,0.2120409671402107,0.0009634009651205972,0.9814940520495302,0.04708520179372197,0.017937219730941704,0.0,0.9784180803428849,0.18196654363762488,0.23384625151171815,0.17803935631255474,0.22879940049947473,0.7048915864174844,0.0914384116533423,0.28936112930571684,0.31295205255780745,0.13996252553210256,0.11237064481117874,0.3199274337625863,0.2415081965724572,0.15405661374502133,0.15466678373490708,0.2952741146838912,0.08230657233693285,0.25850176745948833,0.30099090235702386,0.29193877889653685,0.2739249122467964,0.07500798685872764,0.4195082389716126,0.21262699518687964,0.28289974772183474,0.28582797483048206,0.2648535699320079,0.29702852808059094,0.31174599058741825,5.313363075256348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6134116611467452
baseline_set,1,28,6.562817096710205,-0.15097008582353463,1696.5723428669824,1191.3734372186848,0.9958192765629784,-0.0007563281483741066,0.5009468124911791,0.004484304932735426,0.0,26268.428212169514,0.7431672893635887,0.9736309646106793,0.012063923363090404,0.012063923363089963,196.05188358573474,16251.088280746462,0.2725036952307539,0.1952080131006061,0.010356354135242728,1.0023022458217896,0.06053811659192825,0.004484304932735426,0.0,0.9834562061565826,0.4336515774671975,0.11717027855656087,0.4264773351697074,0.11523183762354533,1.0694173734523633,0.7240190902466466,0.39371301003461817,0.39245637556556656,0.3344801867756626,0.2720160959324424,0.2490281495851684,0.4897077885517736,0.15669577782605038,0.22274783301003342,0.40596820941398726,0.6200737684551618,0.35080842987739563,0.31289430213122765,0.15874578289591273,0.16755665280201823,0.08071421414746145,0.32384194306531594,0.07257684897283154,0.18980990775315945,0.23470035645011256,0.16782119881685092,0.2981288194572413,0.36217002493322725,6.770179510116577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32201734272594434,
baseline_kernel,2,27,5.431043386459351,-0.31315359331501474,6474.495489375866,4637.234641311236,0.9391138464706786,-0.0010913614422537092,0.8727711368068505,0.03587443946188341,0.013452914798206279,26268.428212169514,0.6770398235878037,0.9703864660907029,0.07255091286728703,0.07255091286728543,285.7102822415953,3938.0659863540795,0.2899850504700003,0.21161512403827118,0.0009586801714218374,0.9800010150916991,0.04708520179372197,0.017937219730941704,0.0,1.1028167007258158,0.6139187256977626,0.13299882125009255,0.6770398235878037,0.14667332125144958,0.6547052868029574,0.08139305279627206,0.2923338142354956,0.31669773610976587,0.14069351183093806,0.11679631760868892,0.31991519457187145,0.24721290993597114,0.15643427800859094,0.15689773467034923,0.29923110342697407,0.08242772107412737,0.2605569921856721,0.30416109773460354,0.293154527923678,0.28201019451230847,0.07530238998498145,0.411902681418108,0.21715192960014945,0.27620704238395566,0.2901198592662109,0.26790224791354283,0.30090583249910147,0.3150996087753028,5.638211488723755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
per_add_alpha,2,49,6.335761547088623,-0.10822421479685758,1760.7646778807914,1251.1037465027152,0.9954969236765884,-0.0009416773222809336,0.5044600514202328,0.004484304932735426,0.0,26268.428212169514,0.6421342432928105,1.3173971825679844,0.012760857987819143,0.01276085798781854,156.73066691195137,12282.141769900252,0.27097068732222745,0.1946677798635856,0.00579801923656399,1.0041040004039272,0.06278026905829596,0.006726457399103139,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.556789875030518,0.5201270991287222,0.6493557519461656,0.33774752356230925,1.174151787317041,0.682507193531339,0.38911783271217887,0.38553766293219743,0.31691969595940617,0.2532983753928546,0.25598806564664933,0.49211402991647013,0.138791053662776,0.23005914896967627,0.3905001533501512,0.706045184417768,0.3237676016098827,0.28481428680876336,0.160834796660877,0.12199722459542388,0.12219428413659705,0.29422156520166354,0.08987031095039831,0.1877822860546727,0.21098221579092172,0.2084800500107247,0.3004244962331551,0.3617133559214999,0.18967309693176962,0.12673456350506573,0.1603075267260833,0.15814822577341256,0.2549621553104803,0.15407662979707254,0.14715720329155854,0.13475475046523078,0.1204885665056476,0.4609676807196788,0.12905196626919635,0.17024116580757653,0.28187747532354324,0.16359087457605864,0.8372975709973026,0.16310240480841895,0.16234999738868644,0.2587914126193642,0.13463458745427304,0.18561212043784608,0.12924198207968568,0.12227826709474889,0.09865411768988228,0.06591808087523467,0.08338028884453783,0.0822571779038793,0.13261272622924686,0.08013943049988138,0.076540449263934,0.07008959745329532,0.06266936857476062,0.23976178256482156,0.0671234248524548,0.08854704372378659,0.14661211354976253,0.08508804703717603,0.4355011567103524,0.0848339806739215,0.08444263318533311,0.13460442672513412,0.0700270974149833,0.0965418937664679,0.06722225722475321,0.06360024035047883,0.1204885665056476,0.1613287620573849,0.8372975709973026,0.06266936857476062,0.08391146101493546,0.4355011567103524,0.5852160370809119,0.3043867197305014,0.5852160370809119,
