additive,alpha,effective_alpha,conc_lengthscale
cacl2,0.4935314582338483,0.24595739387514914,0.07721769100833686
mgso4,0.4837829159868365,0.24109908949524736,0.3141210779303056
mncl2,0.48238187213427786,0.2404008622821062,0.2750979652828353
imidazole,0.36324408407179326,0.18102709922197294,0.08131693423273423
znso4,0.3566212548227187,0.17772653186196757,0.42293591948264614
bsa,0.2801122229376996,0.13959732697259344,0.31047851961913836
paa,0.2582983995781587,0.12872614327304632,0.21033352638038708
cmc,0.2229766229548833,0.1111231070726983,0.26996253430493844
pva,0.16754058223456048,0.08349588316457882,0.19488362759719882
sucrose,0.16314867619955511,0.0813071234725824,0.20986397842777352
dmso,0.15464266971641602,0.07706805187547519,0.12434099862443167
tw80,0.13226851662896458,0.0659176210534025,0.12982676385999378
pl127,0.13175838028833112,0.06566338841479376,0.08774810137186402
peg20k,0.12969485623207377,0.06463500614937139,0.2631716699634309
glycerol,0.1288683010889287,0.06422308235908335,0.1306266521198101
feso4,0.12736194032740997,0.06347236918577359,0.21571986528078657
edta,0.125697915227894,0.06264308207551636,0.2525980085571273
peg6k,0.11973096474987144,0.05966937986368874,0.24046777922497703
peg400,0.11902559280240575,0.05931784919017878,0.26064859511889005
peg200k,0.11877347810553571,0.059192204770222884,0.23461982847483162
tx100,0.1151716849166443,0.05739720740736534,0.2103838032416555
tw20,0.10648329591356434,0.053067243267250694,0.22892363815867803
