HRP,model,TMB,H2O2,predicted_value,uncertainty_std,default_observation_std
0.0001,fixed_sem_shrunk,0.646341142,0.006258509,510.0534123,225.7784537,228.8036043
0.0001,fixed_sem_shrunk,0.693898712,0.006703608,567.846207,217.0794286,220.2241075
0.0001,fixed_sem_shrunk,0.940615049,0.007351593,764.8896334,215.4508469,218.6189531
0.0001,fixed_sem_shrunk,0.965116681,0.007626243,844.6476999,210.6978085,213.9363123
0.0001,fixed_sem_shrunk,0.911803165,0.007683653,922.54638,168.1452609,172.1859691
0.0001,fixed_sem_shrunk,0.929420824,0.007803533,969.1842971,172.0558672,176.0068199
0.0001,fixed_sem_shrunk,0.942621122,0.007976925,991.420499,170.0796247,174.0754375
0.0001,fixed_sem_shrunk,0.899929737,0.008000162,1007.625137,113.3990711,119.3085434
0.0001,fixed_sem_shrunk,0.974262653,0.008003741,915.7882539,195.4447354,198.9317064
0.0001,fixed_sem_shrunk,0.919664503,0.008056391,1025.283587,136.3266944,141.2803837
0.0001,fixed_sem_shrunk,0.925057027,0.008195007,1014.39839,130.1411023,135.3214163
0.0001,fixed_sem_shrunk,0.957277906,0.008275092,972.2797528,161.370099,165.5762303
0.0001,fixed_sem_shrunk,0.975775034,0.008563476,907.8790286,165.7150143,169.81356
0.0001,fixed_sem_shrunk,1,0.008912641,807.1248995,191.3026885,194.8637931
0.0001,fixed_sem_shrunk,0.973192779,0.009032641,841.9599032,166.0558481,170.1461839
0.0001,fixed_sem_shrunk,0.936834606,0.009379323,815.4349862,156.8139602,161.139062
0.0001,fixed_sem_shrunk,0.960252431,0.009543396,778.6679707,189.7184065,193.3086987
0.0001,fixed_sem_shrunk,0.909153344,0.009957171,781.8887959,188.5439337,192.1561712
0.0001,fixed_sem_shrunk,0.909754707,0.010470709,709.6797466,217.8817928,221.0150557
0.0001,fixed_sem_shrunk,0.860863545,0.010537032,745.339382,203.9930346,207.3362906
0.0001,fixed_sem_shrunk,0.82193291,0.010756041,763.4180208,194.2953743,197.8026078
0.0001,fixed_sem_shrunk,0.716985088,0.010788438,901.6801625,92.12790653,99.31128014
0.0001,fixed_sem_shrunk,0.760765422,0.010864325,884.6175366,130.771341,135.9276382
0.0001,fixed_sem_shrunk,0.743871665,0.010913303,908.1992935,113.3438768,119.2560841
0.0001,fixed_sem_shrunk,0.851047386,0.01106557,698.3011784,220.3770563,223.4753367
0.0001,fixed_sem_shrunk,0.793885063,0.011067068,798.6324869,185.4904388,189.1609951
