TMB,H2O2,predicted_value,uncertainty_std,default_observation_std
0.67697501,0.130837383,11084.23559,595.1859186,769.6244827
0.683992034,0.144091449,11055.07158,615.3258035,785.303388
0.660569267,0.144677317,11028.43635,533.1523951,722.7219681
0.715107164,0.139157455,10706.56412,870.7846249,998.1690387
0.690049037,0.158904682,10703.19958,778.5427974,918.8059937
0.693521741,0.112301534,10526.24731,917.6265766,1039.28538
0.759452161,0.115397503,10100.65394,1162.390566,1260.645626
0.318078442,0.011303219,6963.858406,1377.596848,1461.45429
0.618161061,0.415111067,6912.686786,1256.556158,1347.964742
0.805916633,0.783046664,6181.182988,1308.999204,1396.980488
1,0.005,5840.643711,2283.263236,2334.816175
0.223067925,0.017416583,5077.633482,1524.948095,1601.106573
0.209472294,0.017919743,4668.012343,1514.671098,1591.321495
0.302449432,0.119494382,3708.024688,1286.200714,1375.640884
0.278022833,0.189217796,2740.541846,1048.403509,1156.384661
0.122423223,0.005580833,2581.580515,1500.646179,1577.977985
0.279026875,0.209851514,2571.640442,1014.151071,1125.423459
0.040402675,0.007380344,460.3013544,1348.401459,1433.967245
0.005329107,0.963056905,387.9565424,1256.711083,1348.109162
0.071118343,0.014468242,292.4899558,1422.646168,1503.993912
0.006532502,0.77332736,235.218306,1149.60547,1248.866808
0.047758499,0.176753306,99.12220797,1169.770898,1267.453952
0.014863828,0.620226363,37.89007749,1778.002736,1843.73786
0.025183168,0.794033338,-29.95026721,839.8839938,971.3293415
0.007779886,0.014506234,-56.05579096,1376.554579,1460.471867
0.014124673,0.013791968,-82.46009664,1071.620712,1177.474635
0.015363866,0.015738713,-94.54788814,1172.951604,1270.39011
0.016635148,0.252922189,-99.60839788,1690.503764,1759.510881
0.018681154,0.09205842,-135.8824621,1440.855274,1521.229597
0.090338616,0.06674579,-168.8332871,1100.904936,1204.18738
0.009778793,0.152445994,-231.3011487,1345.353511,1431.101546
0.030440764,0.031180315,-244.3845409,1156.276925,1255.010714
