seed,model,fit_seconds,mll,train_rmse,train_mae,train_r2,train_z_mean,train_z_std,train_frac_abs_z_gt_2,train_frac_abs_z_gt_3,target_std,kernel_diag_min,kernel_diag_max,noise_standardized,eig_min,eig_max,condition_number,loo_rmse_model_space,loo_mae_model_space,loo_z_mean,loo_z_std,loo_frac_abs_z_gt_2,loo_frac_abs_z_gt_3,loo_cholesky_jitter,old_cont_ls_min,old_cont_ls_median,old_cont_ls_max,old_cat_ls_min,old_cat_ls_median,old_cat_ls_max,old_outputscale_min,old_outputscale_median,old_outputscale_max,new_scale_ess,new_scale_set,new_scale_pair,new_ess_lengthscale,new_conc_lengthscale__cmc,new_conc_lengthscale__peg20k,new_conc_lengthscale__dmso,new_conc_lengthscale__pl127,new_conc_lengthscale__bsa,new_conc_lengthscale__pva,new_conc_lengthscale__tw80,new_conc_lengthscale__glycerol,new_conc_lengthscale__tw20,new_conc_lengthscale__imidazole,new_conc_lengthscale__tx100,new_conc_lengthscale__edta,new_conc_lengthscale__mgso4,new_conc_lengthscale__sucrose,new_conc_lengthscale__cacl2,new_conc_lengthscale__znso4,new_conc_lengthscale__paa,new_conc_lengthscale__mncl2,new_conc_lengthscale__peg200k,new_conc_lengthscale__feso4,new_conc_lengthscale__peg6k,new_conc_lengthscale__peg400,new_main_amp__cmc,new_main_amp__peg20k,new_main_amp__dmso,new_main_amp__pl127,new_main_amp__bsa,new_main_amp__pva,new_main_amp__tw80,new_main_amp__glycerol,new_main_amp__tw20,new_main_amp__imidazole,new_main_amp__tx100,new_main_amp__edta,new_main_amp__mgso4,new_main_amp__sucrose,new_main_amp__cacl2,new_main_amp__znso4,new_main_amp__paa,new_main_amp__mncl2,new_main_amp__peg200k,new_main_amp__feso4,new_main_amp__peg6k,new_main_amp__peg400,baseline_outputscale,baseline_ess_lengthscale,baseline_conc_lengthscale__cmc,baseline_conc_lengthscale__peg20k,baseline_conc_lengthscale__dmso,baseline_conc_lengthscale__pl127,baseline_conc_lengthscale__bsa,baseline_conc_lengthscale__pva,baseline_conc_lengthscale__tw80,baseline_conc_lengthscale__glycerol,baseline_conc_lengthscale__tw20,baseline_conc_lengthscale__imidazole,baseline_conc_lengthscale__tx100,baseline_conc_lengthscale__edta,baseline_conc_lengthscale__mgso4,baseline_conc_lengthscale__sucrose,baseline_conc_lengthscale__cacl2,baseline_conc_lengthscale__znso4,baseline_conc_lengthscale__paa,baseline_conc_lengthscale__mncl2,baseline_conc_lengthscale__peg200k,baseline_conc_lengthscale__feso4,baseline_conc_lengthscale__peg6k,baseline_conc_lengthscale__peg400,baseline_theta
0,old_mixed_hamming,5.862929105758667,-0.5958555025189316,2907.684787833205,2126.964897064513,0.9877199164426148,0.0002193973772764,0.6157826969465178,0.0134529147982062,0.0,26268.428212169518,2.8783400823058845,2.8783400823058845,0.0246445679340642,0.0246445679340623,853.0817834811744,34615.408383852875,0.3314173263334962,0.2307994518865457,0.0191932436095675,1.035893462966109,0.0605381165919282,0.0067264573991031,0.0,0.0972368536558155,1.266577449154781,2.85910083669606,0.3304676738490588,0.7090342196926456,1.1509291718678027,0.4919553357363713,0.8272513723046159,1.30599696502605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,new_additive_set,6.446438789367676,-0.1641447739764197,1583.72820104803,1098.3015479889066,0.996356926163189,0.0001866115651065,0.4959595138013999,0.0067264573991031,0.0,26268.428212169518,0.5842911710289638,2.627703501143523,0.010905661832976,0.0109056618329753,172.60509682124805,15827.108841697534,0.271278392206138,0.1940583879964564,0.0054109561189053,0.9879078751996532,0.0582959641255605,0.0022421524663677,0.0,,,,,,,,,,0.3566555304877106,0.2276356405412532,0.2073328879722811,"[1.1793399137629685, 0.7417623881167487]",0.5720527824570505,0.5266781135567795,0.1738300684340376,0.3575858081881122,0.3523582697004896,0.6786694705985383,0.2134197950845039,0.2308138973818085,0.3993106350660216,0.7078414753996068,0.483432888028643,0.4417672483822366,0.1750301115738127,0.1731789415684938,0.1034669736278214,0.4647287982327978,0.0855445254275452,0.195725910178024,0.2868893686178787,0.1755973310482257,0.3403262467322887,0.4380225657937772,0.3114238093385588,0.2126376197393828,0.2459768784954467,0.2645149355755418,0.3523841435063878,0.2896766125540614,0.2791512212468468,0.2387458957109743,0.3481084281884888,0.8551280672230946,0.2327627098964398,0.3096264875678352,0.3285613143993249,0.2494016809476352,1.0093333278332892,0.2814510090271665,0.2843936738134676,0.2722241313698235,0.2779533651143926,0.4389726535549403,0.2534616855213214,0.2493046663617853,,,,,,,,,,,,,,,,,,,,,,,,,
0,baseline_kernel,3.334599018096924,-0.4681000231372147,1822.6137121123377,1179.6881667760915,0.9951750153088136,-0.0013766696401402,0.4960880884255914,0.0044843049327354,0.0022421524663677,26268.428212169518,0.3747386225481843,0.3747386225481843,0.0144197739361296,0.0144197739361294,12.670850206354697,878.713512602807,0.4676602622727871,0.3194023056578431,0.0260579722169029,1.05255089836048,0.0627802690582959,0.0112107623318385,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3747386225481843,"[1.3422206274369726, 0.773544537715762]",0.552078364760248,0.4432919929459509,0.1790471874822194,0.3885803038100871,0.3749248978538519,0.535389704093793,0.3184956484239494,0.2699348185736192,0.202279293776697,0.3200901574855125,0.3317630231083291,0.3688996827882334,0.2635982536254826,0.1654799383586226,0.0977321239716022,0.3721773261963308,0.381581954185995,0.2300887180253276,0.2818008568202546,0.3078917402328113,0.3403007436130205,0.3470681623012462,0.8847851543192218
1,old_mixed_hamming,5.119417190551758,-0.5958555025189316,2907.684787833205,2126.964897064513,0.9877199164426148,0.0002193973772764,0.6157826969465178,0.0134529147982062,0.0,26268.428212169518,2.8783400823058845,2.8783400823058845,0.0246445679340642,0.0246445679340623,853.0817834811744,34615.408383852875,0.3314173263334962,0.2307994518865457,0.0191932436095675,1.035893462966109,0.0605381165919282,0.0067264573991031,0.0,0.0972368536558155,1.266577449154781,2.85910083669606,0.3304676738490588,0.7090342196926456,1.1509291718678027,0.4919553357363713,0.8272513723046159,1.30599696502605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,new_additive_set,6.78787899017334,-0.1641447739764197,1583.72820104803,1098.3015479889066,0.996356926163189,0.0001866115651065,0.4959595138013999,0.0067264573991031,0.0,26268.428212169518,0.5842911710289638,2.627703501143523,0.010905661832976,0.0109056618329753,172.60509682124805,15827.108841697534,0.271278392206138,0.1940583879964564,0.0054109561189053,0.9879078751996532,0.0582959641255605,0.0022421524663677,0.0,,,,,,,,,,0.3566555304877106,0.2276356405412532,0.2073328879722811,"[1.1793399137629685, 0.7417623881167487]",0.5720527824570505,0.5266781135567795,0.1738300684340376,0.3575858081881122,0.3523582697004896,0.6786694705985383,0.2134197950845039,0.2308138973818085,0.3993106350660216,0.7078414753996068,0.483432888028643,0.4417672483822366,0.1750301115738127,0.1731789415684938,0.1034669736278214,0.4647287982327978,0.0855445254275452,0.195725910178024,0.2868893686178787,0.1755973310482257,0.3403262467322887,0.4380225657937772,0.3114238093385588,0.2126376197393828,0.2459768784954467,0.2645149355755418,0.3523841435063878,0.2896766125540614,0.2791512212468468,0.2387458957109743,0.3481084281884888,0.8551280672230946,0.2327627098964398,0.3096264875678352,0.3285613143993249,0.2494016809476352,1.0093333278332892,0.2814510090271665,0.2843936738134676,0.2722241313698235,0.2779533651143926,0.4389726535549403,0.2534616855213214,0.2493046663617853,,,,,,,,,,,,,,,,,,,,,,,,,
1,baseline_kernel,3.7579574584960938,-0.4681000231372147,1822.6137121123377,1179.6881667760915,0.9951750153088136,-0.0013766696401402,0.4960880884255914,0.0044843049327354,0.0022421524663677,26268.428212169518,0.3747386225481843,0.3747386225481843,0.0144197739361296,0.0144197739361294,12.670850206354697,878.713512602807,0.4676602622727871,0.3194023056578431,0.0260579722169029,1.05255089836048,0.0627802690582959,0.0112107623318385,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3747386225481843,"[1.3422206274369726, 0.773544537715762]",0.552078364760248,0.4432919929459509,0.1790471874822194,0.3885803038100871,0.3749248978538519,0.535389704093793,0.3184956484239494,0.2699348185736192,0.202279293776697,0.3200901574855125,0.3317630231083291,0.3688996827882334,0.2635982536254826,0.1654799383586226,0.0977321239716022,0.3721773261963308,0.381581954185995,0.2300887180253276,0.2818008568202546,0.3078917402328113,0.3403007436130205,0.3470681623012462,0.8847851543192218
2,old_mixed_hamming,5.105133056640625,-0.5958555025189316,2907.684787833205,2126.964897064513,0.9877199164426148,0.0002193973772764,0.6157826969465178,0.0134529147982062,0.0,26268.428212169518,2.8783400823058845,2.8783400823058845,0.0246445679340642,0.0246445679340623,853.0817834811744,34615.408383852875,0.3314173263334962,0.2307994518865457,0.0191932436095675,1.035893462966109,0.0605381165919282,0.0067264573991031,0.0,0.0972368536558155,1.266577449154781,2.85910083669606,0.3304676738490588,0.7090342196926456,1.1509291718678027,0.4919553357363713,0.8272513723046159,1.30599696502605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,new_additive_set,7.161084890365601,-0.1641447739764197,1583.72820104803,1098.3015479889066,0.996356926163189,0.0001866115651065,0.4959595138013999,0.0067264573991031,0.0,26268.428212169518,0.5842911710289638,2.627703501143523,0.010905661832976,0.0109056618329753,172.60509682124805,15827.108841697534,0.271278392206138,0.1940583879964564,0.0054109561189053,0.9879078751996532,0.0582959641255605,0.0022421524663677,0.0,,,,,,,,,,0.3566555304877106,0.2276356405412532,0.2073328879722811,"[1.1793399137629685, 0.7417623881167487]",0.5720527824570505,0.5266781135567795,0.1738300684340376,0.3575858081881122,0.3523582697004896,0.6786694705985383,0.2134197950845039,0.2308138973818085,0.3993106350660216,0.7078414753996068,0.483432888028643,0.4417672483822366,0.1750301115738127,0.1731789415684938,0.1034669736278214,0.4647287982327978,0.0855445254275452,0.195725910178024,0.2868893686178787,0.1755973310482257,0.3403262467322887,0.4380225657937772,0.3114238093385588,0.2126376197393828,0.2459768784954467,0.2645149355755418,0.3523841435063878,0.2896766125540614,0.2791512212468468,0.2387458957109743,0.3481084281884888,0.8551280672230946,0.2327627098964398,0.3096264875678352,0.3285613143993249,0.2494016809476352,1.0093333278332892,0.2814510090271665,0.2843936738134676,0.2722241313698235,0.2779533651143926,0.4389726535549403,0.2534616855213214,0.2493046663617853,,,,,,,,,,,,,,,,,,,,,,,,,
2,baseline_kernel,3.344306707382202,-0.4681000231372147,1822.6137121123377,1179.6881667760915,0.9951750153088136,-0.0013766696401402,0.4960880884255914,0.0044843049327354,0.0022421524663677,26268.428212169518,0.3747386225481843,0.3747386225481843,0.0144197739361296,0.0144197739361294,12.670850206354697,878.713512602807,0.4676602622727871,0.3194023056578431,0.0260579722169029,1.05255089836048,0.0627802690582959,0.0112107623318385,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3747386225481843,"[1.3422206274369726, 0.773544537715762]",0.552078364760248,0.4432919929459509,0.1790471874822194,0.3885803038100871,0.3749248978538519,0.535389704093793,0.3184956484239494,0.2699348185736192,0.202279293776697,0.3200901574855125,0.3317630231083291,0.3688996827882334,0.2635982536254826,0.1654799383586226,0.0977321239716022,0.3721773261963308,0.381581954185995,0.2300887180253276,0.2818008568202546,0.3078917402328113,0.3403007436130205,0.3470681623012462,0.8847851543192218
3,old_mixed_hamming,5.845499277114868,-0.5958555025189316,2907.684787833205,2126.964897064513,0.9877199164426148,0.0002193973772764,0.6157826969465178,0.0134529147982062,0.0,26268.428212169518,2.8783400823058845,2.8783400823058845,0.0246445679340642,0.0246445679340623,853.0817834811744,34615.408383852875,0.3314173263334962,0.2307994518865457,0.0191932436095675,1.035893462966109,0.0605381165919282,0.0067264573991031,0.0,0.0972368536558155,1.266577449154781,2.85910083669606,0.3304676738490588,0.7090342196926456,1.1509291718678027,0.4919553357363713,0.8272513723046159,1.30599696502605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
