seed,best_mll,best_train_rmse,best_train_mae,best_condition_number,best_loo_rmse_model_space,best_loo_mae_model_space,best_abs_loo_z_std_minus_1
0,new_additive_set,new_additive_set,new_additive_set,baseline_kernel,new_additive_set,new_additive_set,new_additive_set
1,new_additive_set,new_additive_set,new_additive_set,baseline_kernel,new_additive_set,new_additive_set,new_additive_set
2,new_additive_set,new_additive_set,new_additive_set,baseline_kernel,new_additive_set,new_additive_set,new_additive_set
3,new_additive_set,new_additive_set,new_additive_set,baseline_kernel,new_additive_set,new_additive_set,new_additive_set
4,new_additive_set,new_additive_set,new_additive_set,baseline_kernel,new_additive_set,new_additive_set,new_additive_set
5,new_additive_set,new_additive_set,new_additive_set,baseline_kernel,new_additive_set,new_additive_set,new_additive_set
6,new_additive_set,new_additive_set,new_additive_set,baseline_kernel,new_additive_set,new_additive_set,new_additive_set
7,new_additive_set,new_additive_set,new_additive_set,baseline_kernel,new_additive_set,new_additive_set,new_additive_set
8,new_additive_set,new_additive_set,new_additive_set,baseline_kernel,new_additive_set,new_additive_set,new_additive_set
9,new_additive_set,new_additive_set,new_additive_set,baseline_kernel,new_additive_set,new_additive_set,new_additive_set
