theta_rank_additive,theta,conc_lengthscale_rank_additive,conc_lengthscale
mncl2,0.2704108152278545,cacl2,0.1093977675762027
znso4,0.3069716485120825,sucrose,0.1672762403954026
edta,0.3168887872792709,tw20,0.1965713711006134
tx100,0.3188483752096723,dmso,0.2024827339920904
mgso4,0.3215975696556667,mncl2,0.2211995800689406
bsa,0.3472183647894383,mgso4,0.2448622888535777
pva,0.375642401779429,glycerol,0.267894428793803
cacl2,0.3832943416326393,peg200k,0.2704012101337796
tw20,0.4046702068849794,tx100,0.2760170195136979
peg6k,0.4161360183288738,tw80,0.2941528960746007
peg400,0.4284143648360524,znso4,0.3162747573494063
imidazole,0.4301221834899719,feso4,0.3198010143746726
glycerol,0.4346391142568358,imidazole,0.3400244281258874
pl127,0.4385795179405984,peg6k,0.3425659036264488
cmc,0.4409183438839189,peg400,0.343878138185083
sucrose,0.4511446244311345,edta,0.3469165196912103
peg200k,0.4617376303480186,pl127,0.3609129156791424
tw80,0.4645770215815484,bsa,0.3630102822150026
feso4,0.4680714511141268,paa,0.36305272380141
peg20k,0.4879416441908061,peg20k,0.4524564400346683
dmso,0.4963310239263409,pva,0.5229211130430408
paa,0.5013746176754578,cmc,0.5708545189297749
