tmb,h2o2,cmc,bsa,imidazole,cacl2,sucrose,edta,mgso4,feso4,peg20k,model,acq,pred_mean,pred_sigma,active_count
2,0.001,1.191363784,0.0892785,0.033804976,0.35950996,0,0,0,0,0,new_additive_set,10.88534004,203300.6034,12351.49607,4
2,0.001,2,0.092605678,0.03402582,0.360975264,0,0,0,0,0,new_additive_set,10.87584702,202797.959,12575.84776,4
2,0.001,0.554028968,0.087333148,0.034796739,0.363997112,0,0,0,0,0,new_additive_set,10.86747614,202354.0336,12184.24917,4
2,0.001,0.525157479,0.08522097,0.012871698,0.360564218,0,0,0,0,0,new_additive_set,10.81208584,199530.2192,12436.63989,4
2,0.001,2,0.376754398,0.02234112,0.364467169,0,0,0,0,0,new_additive_set,10.79445971,198666.3437,12824.10286,4
2,0.001,0,0.08905079,0.034862472,0.362575965,0.003662766,0,0,0,0,new_additive_set,10.79204903,198546.4191,12163.34561,4
2,0.001,0,0.091962261,0.034182885,0.360691378,0,0.045467249,0,0,0,new_additive_set,10.74611892,196369.528,12992.0353,4
2,0.010363746,2,0.091639166,0.034125583,0.362276531,0,0,0,0,0,new_additive_set,10.713596,194858.443,10103.6271,4
2,0.001,0,0.088619029,0.033552962,0.359614235,0,0,0.007619951,0,0,new_additive_set,10.70438254,194466.7836,12463.60272,4
2,0.001,0.001,0.090132186,0.033168805,0.354708678,0,0,0,0,0,new_additive_set,10.6975407,194174.1172,14232.30292,4
2,0.001,0,0.091943349,0.590800615,0.362579484,0,0.046150932,0,0,0,new_additive_set,10.67593063,193224.552,13421.08047,4
2,0.001,1.740276892,0,0.033857819,0.36839941,0.003903468,0,0,0,0,new_additive_set,10.67419905,193139.3802,12272.97195,4
2,0.001,0,0.0765049,0.03030133,0.345478788,0,0,0,2,0,new_additive_set,10.66114579,192581.9227,12504.69155,4
2,0.001,2,0.070406974,0.002846334,0.35229176,0,0,0,0,0,new_additive_set,10.65177768,192194.1533,14113.3745,4
2,0.002588615,0,0.072348178,0.053692578,0.360271956,0.001,0,0,0,0,new_additive_set,10.63821838,191608.5756,11683.65187,4
2,0.001,1.620448855,0,0.033887668,0.361578863,0,0.046067198,0,0,0,new_additive_set,10.63156359,191341.0578,13052.37852,4
2,0.001,0,0.098523388,0.639727436,0.36875555,0,0,0.009311527,0,0,new_additive_set,10.62079716,190899.1223,13063.1197,4
2,0.001,0,0.086956387,0.057789956,0.354823482,0,0,0,0.002979094,0,new_additive_set,10.56563362,188672.0045,13856.43221,4
2,0.001,0.572964298,0.001,0.014006332,0.365149984,0,0,0,0,0,new_additive_set,10.55551701,188210.0488,14259.28517,4
2,0.001,0,0.089592516,0.033323637,0.335664449,0,0,0,0,0.001599888,new_additive_set,10.55060683,188055.8739,14094.98121,4
2,0.001,0.449419605,0,0.024341611,0.388421373,0,0,0,0.002429319,0,new_additive_set,10.4996325,186057.0987,13756.10028,4
2,0.020238107,0,0.094905704,0.035362298,0.369310223,0,0.048814382,0,0,0,new_additive_set,10.43645674,183983.7488,10887.20461,4
0.005644347,0.001,0.95391288,0,0.034223688,0.363980868,0,0.047199667,0,0,0,new_additive_set,10.40676334,182689.9912,14305.63644,4
0.001826767,0.001,0,0.103027727,0.053176027,0.338432768,0.001,0,0,0,0,new_additive_set,10.40509507,182623.0378,15224.73183,4
2,0.005289638,1.092187726,0,0.033810002,0.362809733,0,0,0,0.001679168,0,new_additive_set,10.38539352,182141.8751,12139.59724,4
2,0.001,2,0,0.613425152,0.366262864,0,0,0,0,0.00103798,new_additive_set,10.34582907,180633.1025,14769.98228,4
2,0.001,1.457157238,0,0.001,0.322228323,0,0.04267701,0,0,0,new_additive_set,10.2990217,179150.0573,14923.66081,4
0.003977703,0.001,2,0,0.032879461,0.3471183,0,0,0,0.001780171,0,new_additive_set,10.24471657,177475.2778,15627.71217,4
0.001,0.001841544,0,0.09565414,0.030968029,0.358081245,0,0,0,0,0.001487435,new_additive_set,10.12395889,174152.4139,15416.83677,4
2,0.047626908,0.484088301,0.07222916,0.003742912,0.347698702,0,0,0,0,0,new_additive_set,10.09450923,173745.5772,12170.07547,4
0.553946487,0.016270203,2,0,0.036349463,0.373152166,0,0,0,0,0.002528273,new_additive_set,10.0046349,171561.1967,12090.4932,4
0.001,0.001,0.510026113,0,0.034597971,0.35926143,0,0,0,0,0.001,new_additive_set,10.0071686,170981.9062,16224.54054,4
