case,old_hamming,additive_set,hier_family,famt
noadd vs noadd,1.0,1.0,1.0,1.0
noadd vs PEG20K@c,0.9611602188311325,0.5316547627328406,0.11826066495326823,0.9865341541385854
PEG20K low vs PEG20K high,0.9795239679204693,0.787346212895728,0.9991439863687133,0.9733989097251444
PEG20K vs PEG6k @c,0.9198509689329556,0.48030979609275515,0.732848848574853,0.9959004118243135
PEG20K vs PEG200k @c,0.9170132272979923,0.48030979609275515,0.7128354869476522,0.9979575026606216
PEG20K vs TW80 @c,0.8667814426245791,0.48030979609275515,0.5729008097279794,0.9480010245058852
PEG20K vs BSA @c,0.8426937128048253,0.48030979609275515,0.6034324319448455,0.9463745787106782
PEG20K vs MgSO4 @c,0.7636094724238062,0.48030979609275515,0.4961921478659436,0.8474709676929422
PEG20K+BSA vs PEG20K,0.8772051889376684,0.742946013110614,0.8944721104196602,0.9330515035716771
PEG20K+BSA vs PEG6k+BSA,0.9198509689329556,0.6318651321650917,0.9124747781512533,0.9968813367762481
PEG20K+BSA vs TW80+DMSO,0.7201876775041925,0.39611945734815107,0.6258892039905771,0.8878199779482342
noadd vs CaCl2@c,0.4078637458672768,0.5316547627328406,0.11826066495326823,0.8533968454957069
noadd vs imidazole@c,0.6703335710817283,0.5316547627328406,0.11826066495326823,0.8729144350252214
CaCl2 vs MnCl2 @c,0.385566715508341,0.48030979609275515,0.740659021239559,0.6837288664784801
MnCl2 vs FeSO4 @c,0.6121131077474333,0.48030979609275515,0.6758193713850469,0.7932214394622523
