case,old_hamming,additive_set,hier_family
noadd vs noadd,0.9999999999999999,1.0,0.9999999999999998
noadd vs PEG20K@c,0.9611602188311323,0.5316547627328406,0.11826066495326823
PEG20K low vs PEG20K high,0.9795239679204691,0.7873462128957281,0.9991439863687134
PEG20K vs PEG6k @c,0.9198509689329554,0.4803097960927552,0.7328488485748531
PEG20K vs PEG200k @c,0.9170132272979921,0.4803097960927552,0.7128354869476523
PEG20K vs TW80 @c,0.866781442624579,0.4803097960927552,0.5729008097279795
PEG20K vs BSA @c,0.8426937128048252,0.4803097960927552,0.6034324319448456
PEG20K vs MgSO4 @c,0.7636094724238061,0.4803097960927552,0.49619214786594373
PEG20K+BSA vs PEG20K,0.8772051889376683,0.742946013110614,0.8944721104196602
PEG20K+BSA vs PEG6k+BSA,0.9198509689329554,0.6318651321650915,0.9124747781512533
PEG20K+BSA vs TW80+DMSO,0.7201876775041924,0.396119457348151,0.6258892039905771
