,is_peg,is_polymer,is_surfactant,is_polyol_sugar,is_protein,is_solvent,is_salt,is_redox_active,is_protein_stabilizer,is_chelator_strong,is_kosmotrope_anion,log_mw,charge_at_pH7
cmc,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5357170562158773,-1.8351952790381754
peg20k,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9744427691934686,0.042678959977631985
dmso,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.094818827868498,0.042678959977631985
pl127,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8020256956306618,0.042678959977631985
bsa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4224003742644324,-1.8351952790381754
pva,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.137985698845664,0.042678959977631985
tw80,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04270449351526976,0.042678959977631985
glycerol,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0334728192129214,0.042678959977631985
tw20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06682621928287968,0.042678959977631985
imidazole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1462006289077367,0.35565799981359986
tx100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30595102397470886,0.042678959977631985
edta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.6025344830060329,-1.8351952790381754
mgso4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.9335368158278827,1.2945951193215037
sucrose,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.543532006288299,0.042678959977631985
cacl2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.9638456825813929,1.2945951193215037
znso4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.8239882715045166,1.2945951193215037
paa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5750342804710302,-1.8351952790381754
mncl2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.9169528625619958,1.2945951193215037
peg200k,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.8336949653561478,0.042678959977631985
feso4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.8466938261829184,1.2945951193215037
peg6k,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5251580589845523,0.042678959977631985
peg400,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.48540093824677205,0.042678959977631985
