case,famt
noadd vs noadd,1.0
noadd vs PEG20K@c,0.9865341541385854
PEG20K low vs PEG20K high,0.9733989097251444
PEG20K vs PEG6k @c,0.9959004118243135
PEG20K vs PEG200k @c,0.9979575026606216
PEG20K vs TW80 @c,0.9480010245058852
PEG20K vs BSA @c,0.9463745787106782
PEG20K vs MgSO4 @c,0.8474709676929422
PEG20K+BSA vs PEG20K,0.9330515035716771
PEG20K+BSA vs PEG6k+BSA,0.9968813367762481
PEG20K+BSA vs TW80+DMSO,0.8878199779482342
noadd vs CaCl2@c,0.8533968454957069
noadd vs imidazole@c,0.8729144350252214
CaCl2 vs MnCl2 @c,0.6837288664784801
MnCl2 vs FeSO4 @c,0.7932214394622523
