Pair,Meaning,OLD,NEW,MOD,left_tmb,left_h2o2,right_tmb,right_h2o2
r460 blank vs r461 blank,Blank vs blank; different TMB/H2O2,0.849263535726468,0.9912349168927072,0.9911523824563138,0.231439,0.038927,0.613527,0.020085
r000 cmc=1 vs r277 cmc=1,Same additive and dose; A/B replicate recipe,0.9999999999999999,1.0000000000000002,1.0000000000000002,1.0,0.01,1.0,0.01
r276 cmc=2 vs r280 cmc=0.125,Same additive; different CMC dose,0.9914877152028729,0.8366168965228988,0.9997488300275016,1.0,0.01,1.0,0.01
r000 cmc=1 vs r105 pva=0.0078125,Same family polymer; CMC vs PVA,0.8749953836698562,0.4803097960927552,0.7345398046721364,1.0,0.01,1.0,0.01
r270 peg6k=1 vs r273 peg400=1,Same family PEG; PEG6k vs PEG400,0.8538949823710168,0.4803097960927552,0.7028268223349942,1.0,0.01,1.0,0.01
r231 cacl2=0.25 vs r266 feso4=1,Same family salt; CaCl2 vs FeSO4,0.332623549706483,0.4803097960927552,0.6754714605307278,1.0,0.01,1.0,0.01
r000 cmc=1 vs r045 dmso=1,Different family; polymer vs solvent,0.8238694393971554,0.4803097960927552,0.4300201242922632,1.0,0.01,1.0,0.01
r231 cacl2=0.25 vs r045 dmso=1,Different family; salt vs solvent,0.34156301636198577,0.4803097960927552,0.610604603055964,1.0,0.01,1.0,0.01
r000 cmc=1 vs r273 peg400=1,Disjoint additives; both polymers,0.8516867972507188,0.4803097960927552,0.5770408057462065,1.0,0.01,1.0,0.01
r460 blank vs r000 cmc=1,Blank vs single additive,0.5759849069035846,0.5151819564140009,0.11509999980903288,0.231439,0.038927,1.0,0.01
r278 cmc=0.5 vs r021 cmc=0.5+peg400=0.5,Subset relation; CMC vs CMC+PEG400,0.9335013581765647,0.742057084016437,0.8869490741969189,1.0,0.01,1.0,0.01
