sheet,well,tmb,hrp,h2o2,etoh,peg20k,dmso,pl127,bsa,pva,tw80,glycerol,tw20,imidazole,tx100,edta,mgcl2,sucrose,cacl2,zn2,paa,mn2,peg200k,fe2,peg5k,peg400,auc_mean,n_repeats,auc_mean_std,roi_sd_mean
pairwise 2,"[3,19]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,13.53863148,1,,1.480405677
pairwise 2,"[0,19]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0.625,0,0,12.39026799,2,1.123093974,1.190526768
pairwise 1,"[9,19]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0.625,0,0,0.000142618,2,0.000201692,2.880793282
pairwise 1,"[12,19]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0.625,0,0,5.556254956,2,0.837195816,2.378174991
pairwise 1,"[4,19]",0.375,0.0015,1.857142857,0,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,20.37685456,2,2.120007352,2.23545652
pairwise 1,"[3,19]",0.375,0.0015,1.857142857,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,18.6846113,2,0.545281986,2.228825133
pairwise 2,"[3,6]",0.375,0.0015,1.857142857,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,18.89973954,2,0.050901237,2.000254515
pairwise 1,"[14,19]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0.625,0,0,5.488828106,2,2.37971908,1.379100449
pairwise 1,"[0,19]",0.375,0.0015,1.857142857,31.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,18.10757193,2,0.970283355,1.816595568
pairwise 2,"[3,11]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0.625,0,0,12.76296458,2,6.01658481,1.435042684
pairwise 1,"[10,19]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0.625,0,0,16.10691772,2,1.216449952,1.679952968
pairwise 1,"[2,19]",0.375,0.0015,1.857142857,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,17.93298365,2,2.35921133,1.609034997
pairwise 2,"[3,8]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0.625,0,0,18.7310879,2,2.064906686,1.5964482
pairwise 2,"[3,5]",0.375,0.0015,1.857142857,0,0,0,0,0,15.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,17.27093753,2,0.033353194,1.538189924
pairwise 1,"[1,19]",0.375,0.0015,1.857142857,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,17.97754205,2,1.54474954,1.513545343
pairwise 2,"[3,13]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,31.25,0,0,0,0,0,0.625,0,0,16.49405605,2,3.052928175,1.154141067
pairwise 2,"[10,19]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,17.1144482,13,0.744141943,1.409264083
pairwise 2,"[4,19]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,6.25,0,16.51498644,2,0.753383434,1.400354186
pairwise 1,"[15,19]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0.625,0,0,15.14827595,2,0.853833291,1.383959423
pairwise 2,"[3,17]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0.625,0,0,15.15634067,2,3.297906656,1.235941408
pairwise 1,"[7,19]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,31.25,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,13.66500633,2,0.855732587,1.279551876
pairwise 2,"[3,21]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,6.25,16.30798591,2,0.768465527,1.275214183
pairwise 2,"[3,18]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,0.625,0,0,17.46902067,2,2.998507137,1.25458484
single additive,"[1,19]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446428571,0,0,16.23575266,1,,1.141691544
single additive,"[2,19]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318877551,0,0,16.34864555,1,,1.21825583
single additive,"[3,19]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227769679,0,0,16.89498689,1,,1.219149888
single additive,"[4,19]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162692628,0,0,16.89581047,1,,1.334448545
single additive,"[5,19]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11620902,0,0,16.68151527,1,,1.134773673
single additive,"[6,19]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083006443,0,0,16.44522735,1,,1.152255426
single additive,"[7,19]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059290316,0,0,16.99303468,1,,1.277635007
single additive,"[8,19]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042350226,0,0,16.43398876,1,,1.165212797
single additive,"[9,19]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030250161,0,0,16.62997519,1,,1.174746037
